监管文件编号,主题,标题,发文字号,文件来源,正文状态,立法依据,条款引用,备注,子主题
RFN-97ed5b70a6aee3b1,T1销售行为与消费者保护,关于规范保险营销团队管理的通知,保监发〔2007〕93号,nfra,完整,保险营销员管理规定(部门规章); 保险法(法律),,条级引用0条/文件级引用8条/自身条款0条/最高层级依据部门规章,S1人员/中介
RFN-bdcf2e6288ea2d45,T1销售行为与消费者保护,关于加强投资连结保险销售管理有关事项的通知,保监发〔2007〕76号,nfra,完整,无显式立法依据,,条级引用0条/文件级引用0条/自身条款0条/最高层级依据无显式依据,S2销售误导
RFN-56eadda7a101a149,T1销售行为与消费者保护,关于保险中介市场发展的若干意见（已废止）,保监发〔2007〕107号,nfra,完整,国务院关于保险业改革发展的若干意见(规范性文件),,条级引用0条/文件级引用1条/自身条款0条/最高层级依据规范性文件,S1人员/中介
RFN-3310d99e961c2ade,T1销售行为与消费者保护,关于规范代理制保险营销员管理制度的通知（已废止）,保监发〔2007〕123号,nfra,完整,中华人民共和国保险法(法律),,条级引用0条/文件级引用5条/自身条款0条/最高层级依据法律,S1人员/中介
RFN-065949029b3a294c,T1销售行为与消费者保护,关于实施农村保险营销员资格分类管理有关事宜的通知,保监发〔2008〕17号,nfra,完整,无显式立法依据,,条级引用0条/文件级引用3条/自身条款0条/最高层级依据无显式依据,S1人员/中介
RFN-dc3d3bc52b3c5889,T1销售行为与消费者保护,关于加强人身保险收付费相关环节风险管理的通知,保监发〔2008〕97号,nfra,完整,无显式立法依据,,条级引用0条/文件级引用0条/自身条款0条/最高层级依据无显式依据,S5消保/信息
RFN-e2c9508cb1532948,T1销售行为与消费者保护,关于印发《保险专业中介机构分类监管暂行办法》的通知,保监发〔2008〕122号,nfra,完整,保险法(法律); 保险专业代理机构监管规定(部门规章),,条级引用0条/文件级引用5条/自身条款0条/最高层级依据法律,S1人员/中介
RFN-c923da73935a62fa,T1销售行为与消费者保护,关于公布保险理赔（给付）程序 进一步做好理赔服务工作的通知,保监发〔2008〕100号,nfra,完整,无显式立法依据,,条级引用0条/文件级引用0条/自身条款0条/最高层级依据无显式依据,S5消保/信息
RFN-b9e94212a13f4880,T1销售行为与消费者保护,关于提示人身保险银邮代理业务风险的通知,保监寿险〔2008〕576号,nfra,完整,无显式立法依据,,条级引用0条/文件级引用1条/自身条款0条/最高层级依据无显式依据,S3银邮渠道
RFN-c7ee30cfb4e294d6,T1销售行为与消费者保护,关于促进寿险公司电话营销业务规范发展的通知,保监发〔2008〕38号,nfra,完整,人身保险产品审批和备案管理办法(部门规章),,条级引用0条/文件级引用1条/自身条款0条/最高层级依据部门规章,S4互联网/电话
RFN-233baf71fb13ddc2,T1销售行为与消费者保护,关于进一步规范代理制保险营销员管理有关问题的通知,保监厅发〔2008〕27号,nfra,完整,中华人民共和国保险法(法律); 中华人民共和国民法通则(其他),中华人民共和国保险法第112条,条级引用1条/文件级引用3条/自身条款0条/最高层级依据法律,S1人员/中介
RFN-f016ac399473a884,T1销售行为与消费者保护,关于调整农村保险营销员资格直接授予方案报备程序的通知,保监中介〔2008〕1075号,nfra,完整,关于实施农村保险营销员资格分类管理有关事宜的通知(规范性文件),,条级引用0条/文件级引用1条/自身条款0条/最高层级依据规范性文件,S1人员/中介
RFN-a0dea92c7cb3e043,T1销售行为与消费者保护,关于调整保险经纪、保险公估法人许可证换发和高级管理人员任职资格核准工作流程有关事宜的通知,保监发〔2008〕119号,nfra,完整,中华人民共和国行政许可法(法律); 保险经纪机构监管规定(部门规章),,条级引用0条/文件级引用4条/自身条款0条/最高层级依据法律,X机构/数据
RFN-b7257d89ba777dcf,T1销售行为与消费者保护,关于进一步加强投资连结保险销售管理的通知,保监发〔2009〕10号,nfra,完整,无显式立法依据,,条级引用0条/文件级引用0条/自身条款0条/最高层级依据无显式依据,S2销售误导
RFN-bac68062f80d3053,T1销售行为与消费者保护,关于加强和完善保险营销员管理工作有关事项的通知,保监发〔2009〕98号,nfra,完整,关于规范保险营销团队管理的通知(规范性文件),,条级引用0条/文件级引用1条/自身条款0条/最高层级依据规范性文件,S1人员/中介
RFN-96ac98a56e401cdd,T1销售行为与消费者保护,关于贯彻落实《保险专业代理机构监管规定》、《保险经纪机构监管规定》、《保险公估机构监管规定》有关事宜的通知,保监发〔2009〕130号,nfra,完整,三个规定(部门规章); 行政许可法(法律),,条级引用0条/文件级引用8条/自身条款0条/最高层级依据部门规章,S1人员/中介
RFN-28b33b7919097bdb,T1销售行为与消费者保护,关于推进投保提示工作的通知,保监发〔2009〕68号,nfra,完整,中华人民共和国保险法(法律); 人身保险投保提示工作要求(其他); 人身保险投保提示书基准内容(其他),,条级引用0条/文件级引用8条/自身条款0条/最高层级依据法律,S5消保/信息
RFN-60aec5122f4c8f5e,T1销售行为与消费者保护,关于改革完善保险营销员管理体制的意见,保监发〔2010〕84号,nfra,完整,中华人民共和国劳动法(法律),,条级引用0条/文件级引用3条/自身条款0条/最高层级依据法律,S1人员/中介
RFN-201ab43ff9f14a29,T1销售行为与消费者保护,关于进一步加强和完善保险营销员管理工作有关事项的通知,保监中介〔2010〕544号,nfra,完整,通知(规范性文件); 保险法(法律),,条级引用0条/文件级引用5条/自身条款0条/最高层级依据规范性文件,S1人员/中介
RFN-9510822956113cd9,T1销售行为与消费者保护,关于单位能否为员工投保个人保险产品的复函,保监厅函[2010]111号,supp,完整,无显式立法依据,关于规范人身保险经营行为有关问题的通知第六条,条级引用1条/文件级引用3条/自身条款0条/最高层级依据无显式依据,S5消保/信息
RFN-ee2a85429237e4b1,T1销售行为与消费者保护,关于意外险出单管理有关问题的复函,保监寿险[2010]1066号,supp,完整,人身意外伤害保险业务经营标准(其他); 保险法(法律),保险法第三十四条,条级引用1条/文件级引用3条/自身条款0条/最高层级依据其他,S5消保/信息
RFN-78d47fac28a8319e,T1销售行为与消费者保护,关于保险公司中介业务检查中代理人、经纪人佣金监管有关问题的通知,保监中介〔2010〕507号,nfra,完整,中华人民共和国保险法(法律),,条级引用0条/文件级引用3条/自身条款0条/最高层级依据法律,S1人员/中介
RFN-f125bc8f22821dfc,T1销售行为与消费者保护,关于加强保险公司中介业务管理的通知,保监发[2010]107号,supp,完整,中华人民共和国保险法(法律),,条级引用0条/文件级引用2条/自身条款0条/最高层级依据法律,S1人员/中介
RFN-b1c08c3785a08395,T1销售行为与消费者保护,关于加强银行代理寿险业务结构调整促进银行代理寿险业务健康发展的通知（已废止）,保监发〔2010〕4号,nfra,完整,关于进一步加强投资连结保险销售管理的通知(规范性文件),,条级引用0条/文件级引用6条/自身条款0条/最高层级依据规范性文件,S3银邮渠道
RFN-30fe8eab1eae6696,T1销售行为与消费者保护,关于严格规范保险专业中介机构激励行为的通知,保监中介〔2010〕1333号,nfra,完整,无显式立法依据,,条级引用0条/文件级引用1条/自身条款0条/最高层级依据无显式依据,S1人员/中介
RFN-6d5fe958d8be4cc1,T1销售行为与消费者保护,关于进一步规范人身保险电话营销和电话约访行为的通知,保监发〔2010〕99号,nfra,完整,无显式立法依据,,条级引用0条/文件级引用1条/自身条款0条/最高层级依据无显式依据,S4互联网/电话
RFN-5adce45a2655d6c3,T1销售行为与消费者保护,关于调整保险营销员诚信记录登记事项的通知,保监发〔2011〕27号,nfra,完整,无显式立法依据,,条级引用0条/文件级引用1条/自身条款0条/最高层级依据无显式依据,S1人员/中介
RFN-fde12c590486cfd5,T1销售行为与消费者保护,关于加强保险公司与商业银行保单质押贷款业务合作管理有关问题的通知,保监寿险〔2011〕1312号,nfra,完整,无显式立法依据,,条级引用0条/文件级引用1条/自身条款0条/最高层级依据无显式依据,S3银邮渠道
RFN-7caadd410cf2edcf,T1销售行为与消费者保护,关于印发《保险中介服务集团公司监管办法（试行）》的通知,保监发〔2011〕54号,nfra,完整,中华人民共和国保险法(法律); 保险法(法律),公司法第147条,条级引用1条/文件级引用4条/自身条款2条/最高层级依据法律,S1人员/中介
RFN-7f16772184818047,T1销售行为与消费者保护,关于规范人身保险业务经营有关问题的通知,保监发〔2011〕36号,nfra,完整,中华人民共和国保险法(法律),,条级引用0条/文件级引用2条/自身条款0条/最高层级依据法律,S5消保/信息
RFN-752423551e5257fe,T1销售行为与消费者保护,关于印发《保险代理、经纪公司互联网保险业务监管办法（试行）》的通知,保监发〔2011〕53号,nfra,完整,中华人民共和国保险法(法律),,条级引用0条/文件级引用5条/自身条款0条/最高层级依据法律,S1人员/中介
RFN-eddfdcf713ef5e47,T1销售行为与消费者保护,中国保监会关于印发《人身保险业综合治理销售误导评价办法（试行）》的通知,保监发〔2012〕105号,nfra,完整,中华人民共和国保险法(法律); 人身保险业综合治理销售误导效果评价指标体系(其他),,条级引用0条/文件级引用5条/自身条款0条/最高层级依据法律,S2销售误导
RFN-bcfc514b94391a98,T1销售行为与消费者保护,中国保监会关于印发《人身保险公司销售误导责任追究指导意见》的通知,保监发〔2012〕99号,nfra,完整,中华人民共和国保险法(法律),,条级引用0条/文件级引用3条/自身条款0条/最高层级依据法律,S2销售误导
RFN-a429aecda05abca9,T1销售行为与消费者保护,中国保监会关于印发《人身保险销售误导行为认定指引》的通知,保监发〔2012〕87号,nfra,完整,保险法(法律); 中华人民共和国保险法(法律),指引第五条; 指引第六条; 保险法第116条×3; 保险法第131条×3; 指引第七条; 指引第八条; 指引第九条,条级引用7条/文件级引用4条/自身条款0条/最高层级依据法律,S2销售误导
RFN-0e22460fd96dca27,T1销售行为与消费者保护,关于人身保险业综合治理销售误导有关工作的通知,保监发〔2012〕14号,nfra,完整,无显式立法依据,,条级引用0条/文件级引用1条/自身条款0条/最高层级依据无显式依据,S2销售误导
RFN-9f118d8b4f935440,T1销售行为与消费者保护,关于尽快遏制电销扰民有关事项的通知,保监消保〔2012〕1436号,nfra,完整,无显式立法依据,,条级引用0条/文件级引用0条/自身条款0条/最高层级依据无显式依据,S4互联网/电话
RFN-79d528d0366d0068,T1销售行为与消费者保护,关于做好保险消费者权益保护工作的通知,保监发〔2012〕9号,nfra,完整,保险公司信息披露管理办法(部门规章),,条级引用0条/文件级引用2条/自身条款0条/最高层级依据部门规章,S5消保/信息
RFN-3c3859b938b9a995,T1销售行为与消费者保护,关于进一步规范保险专业中介机构激励行为的通知,保监中介〔2012〕202号,nfra,完整,关于严格规范保险专业中介机构激励行为的通知(规范性文件),,条级引用0条/文件级引用1条/自身条款0条/最高层级依据规范性文件,S1人员/中介
RFN-aedbf0e9b08f138f,T1销售行为与消费者保护,中国保监会关于印发《人身保险电话销售业务管理办法》的通知,保监发〔2013〕40号,nfra,完整,中华人民共和国保险法(法律); 保险公司管理规定(部门规章),,条级引用0条/文件级引用7条/自身条款4条/最高层级依据法律,S4互联网/电话
RFN-3426f86e4664d8a4,T1销售行为与消费者保护,关于实施《保险专业代理机构基本服务标准》《保险经纪机构基本服务标准》《保险公估机构基本服务标准》的通知,保监发〔2013〕3号,nfra,完整,保险法(法律); 中华人民共和国保险法(法律),,条级引用0条/文件级引用8条/自身条款0条/最高层级依据法律,S1人员/中介
RFN-46e6b360a0b63c9b,T1销售行为与消费者保护,中国保监会关于进一步发挥保险经纪公司促进保险创新作用的意见,保监发〔2013〕16号,nfra,完整,无显式立法依据,,条级引用0条/文件级引用0条/自身条款0条/最高层级依据无显式依据,S1人员/中介
RFN-486bfdb11f7dfd67,T1销售行为与消费者保护,中国保监会办公厅关于保险销售、保险经纪、保险公估从业人员资格证书和执业证书有关事项的通知,保监厅发〔2013〕30号,nfra,完整,保险销售从业人员监管办法(部门规章),,条级引用0条/文件级引用8条/自身条款0条/最高层级依据部门规章,S1人员/中介
RFN-0bd80ef2b6fcaebc,T1销售行为与消费者保护,中国保监会关于印发《人身保险公司服务评价管理办法》的通知,保监发〔2013〕73号,nfra,完整,办法(部门规章); 人身保险业务基本服务规定(部门规章); 人身保险行业客户满意度指数测评实施方案(规范性文件); 保险法(法律),保险法第171条; 保险法第172条,条级引用2条/文件级引用6条/自身条款1条/最高层级依据部门规章,S5消保/信息
RFN-949ffc4890a853bb,T1销售行为与消费者保护,中国保监会关于严格规范非保险金融产品销售的通知,保监发〔2014〕90号,nfra,完整,无显式立法依据,,条级引用0条/文件级引用0条/自身条款0条/最高层级依据无显式依据,S7适当性/新行为
RFN-6025708b82d19a85,T1销售行为与消费者保护,关于印发《中国保监会关于加强保险消费者权益保护工作的意见》的通知,保监发〔2014〕89号,nfra,完整,社会信用体系建设规划纲要（2014－2020年）(其他),,条级引用0条/文件级引用4条/自身条款0条/最高层级依据其他,S5消保/信息
RFN-8b17476e653926b8,T1销售行为与消费者保护,中国保监会关于保险中介从业人员管理有关问题的通知,保监中介〔2015〕139号,supp,完整,国务院审改办关于严肃纪律巩固行政审批制度改革成果的通知(规范性文件),,条级引用0条/文件级引用3条/自身条款0条/最高层级依据规范性文件,S1人员/中介
RFN-b2dc070aae6d7995,T1销售行为与消费者保护,保险经纪机构监管规定（2015年修订）,中国保险监督管理委员会令2009年第6号,nfra,完整,无显式立法依据,,条级引用0条/文件级引用2条/自身条款0条/最高层级依据无显式依据,S1人员/中介
RFN-d13e858182803995,T1销售行为与消费者保护,中国保监会关于印发《保险小额理赔服务指引（试行）》的通知,保监消保〔2015〕201号,nfra,完整,国务院关于加快发展现代保险服务业的若干意见(规范性文件); 指引(部门规章); 中国保监会关于加强保险消费者权益保护工作的意见(规范性文件),,条级引用0条/文件级引用4条/自身条款0条/最高层级依据规范性文件,S5消保/信息
RFN-449377d09304d076,T1销售行为与消费者保护,关于印发《保险公司服务评价管理办法（试行）》的通知,保监发〔2015〕75号,nfra,完整,无显式立法依据,,条级引用0条/文件级引用2条/自身条款0条/最高层级依据无显式依据,S5消保/信息
RFN-3d2e4e77b9696c64,T1销售行为与消费者保护,保险公估机构监管规定（2015年修订）,中国保险监督管理委员会令2009年第7号,nfra,完整,无显式立法依据,,条级引用0条/文件级引用2条/自身条款0条/最高层级依据无显式依据,S1人员/中介
RFN-55f91e7c0fcda473,T1销售行为与消费者保护,中国保监会关于印发《互联网保险业务监管暂行办法》的通知,保监发〔2015〕69号,nfra,完整,中华人民共和国保险法(法律); 人身保险新型产品信息披露管理办法(部门规章),,条级引用0条/文件级引用5条/自身条款1条/最高层级依据法律,S4互联网/电话
RFN-e334d8cce1f13776,T1销售行为与消费者保护,中国保监会关于深化保险中介市场改革的意见,保监发〔2015〕91号,nfra,完整,无显式立法依据,,条级引用0条/文件级引用2条/自身条款0条/最高层级依据无显式依据,S1人员/中介
RFN-1eb5a997aca74bd9,T1销售行为与消费者保护,中国保监会关于进一步规范保险理赔服务有关事项的通知,保监寿险〔2016〕131号,nfra,完整,无显式立法依据,,条级引用0条/文件级引用0条/自身条款0条/最高层级依据无显式依据,S5消保/信息
RFN-4ab1a1555817bbc8,T1销售行为与消费者保护,中国保监会关于印发《保险销售行为可回溯管理暂行办法》的通知,保监发〔2017〕54号,nfra,完整,关于加强金融消费者权益保护工作的指导意见(规范性文件); 办法(部门规章); 保险法(法律),,条级引用0条/文件级引用4条/自身条款1条/最高层级依据规范性文件,S2销售误导
RFN-d2e7a82477f02321,T1销售行为与消费者保护,中国保监会关于进一步加强人身保险公司销售管理工作的通知,保监人身险〔2017〕136号,nfra,完整,无显式立法依据,,条级引用0条/文件级引用0条/自身条款1条/最高层级依据无显式依据,S2销售误导
RFN-456cbc25ed7abfd4,T1销售行为与消费者保护,关于加强自媒体营销宣传行为管理的通知,银保监发〔2018〕27号,supp,完整,无显式立法依据,,条级引用0条/文件级引用3条/自身条款0条/最高层级依据无显式依据,S7适当性/新行为
RFN-94a1e55c54595567,T1销售行为与消费者保护,保险经纪人监管规定,保监会令〔2018〕3号,nfra,完整,中华人民共和国保险法(法律); 保险法(法律); 保险许可证管理办法(部门规章),,条级引用0条/文件级引用8条/自身条款9条/最高层级依据法律,S1人员/中介
RFN-fdd4c59c39fd50f8,T1销售行为与消费者保护,保险公估人监管规定,保监会令〔2018〕2号,nfra,完整,中华人民共和国保险法(法律); 保险法(法律),资产评估法第十五条,条级引用1条/文件级引用9条/自身条款8条/最高层级依据法律,S1人员/中介
RFN-c616b2b4ff8e65be,T1销售行为与消费者保护,中国银行保险监督管理委员会关于放开外资保险经纪公司经营范围的通知,银保监发〔2018〕19号,nfra,完整,无显式立法依据,,条级引用0条/文件级引用2条/自身条款0条/最高层级依据无显式依据,S1人员/中介
RFN-41cbdba31797f083,T1销售行为与消费者保护,中国银行保险监督管理委员会关于印发《保险公估基本准则》的通知,银保监发〔2018〕21号,nfra,完整,中华人民共和国资产评估法(法律); 中华人民共和国保险法(法律); 保险法(法律); 资产评估法(法律),,条级引用0条/文件级引用7条/自身条款0条/最高层级依据法律,S1人员/中介
RFN-763780caf95292c6,T1销售行为与消费者保护,中国银保监会关于切实加强和改进保险服务的通知,银保监发〔2018〕40号,nfra,完整,无显式立法依据,,条级引用0条/文件级引用1条/自身条款0条/最高层级依据无显式依据,S3银邮渠道
RFN-39c0fc086c78c90d,T1销售行为与消费者保护,中国银保监会办公厅关于做好港澳台居民居住证使用工作有关事项的通知,银保监办发[2018]83号,nfra,完整,办法(部门规章); 港澳台居民居住证机读信息规范（试行版）(其他),,条级引用0条/文件级引用3条/自身条款0条/最高层级依据部门规章,S3银邮渠道
RFN-280bba93cfa3b5dd,T1销售行为与消费者保护,中国银保监会办公厅关于加强保险公司中介渠道业务管理的通知,银保监办发〔2019〕19号,nfra,完整,无显式立法依据,,条级引用0条/文件级引用1条/自身条款0条/最高层级依据无显式依据,S1人员/中介
RFN-c845291d924f0b48,T1销售行为与消费者保护,中国人民银行 中国银行保险监督管理委员会 中国证券监督管理委员会 国家外汇管理局关于进一步规范金融营销宣传行为的通知（银发〔2019〕316号）,银发〔2019〕316号,pbc,完整,中华人民共和国中国人民银行法(法律),,条级引用0条/文件级引用6条/自身条款0条/最高层级依据法律,S7适当性/新行为
RFN-1f6000fdb3c3a1ba,T1销售行为与消费者保护,中国银保监会办公厅关于坚决杜绝保险机构及从业人员违规销售非保险金融产品的通知,银保监办发〔2019〕20号,supp,完整,通知(规范性文件),,条级引用0条/文件级引用2条/自身条款0条/最高层级依据规范性文件,S1人员/中介
RFN-0101b070be1f1aa2,T1销售行为与消费者保护,《关于开展保险公司销售从业人员执业登记数据清核工作的通知》,银保监办发〔2019〕71号,supp,完整,中华人民共和国保险法(法律); 中国保险统计信息系统对接标准(其他),,条级引用0条/文件级引用3条/自身条款0条/最高层级依据法律,S1人员/中介
RFN-e5a60d918465f9ee,T1销售行为与消费者保护,中国银保监会办公厅关于印发《商业银行代理保险业务管理办法》的通知,银保监办发〔2019〕179号,nfra,完整,中华人民共和国保险法(法律),中华人民共和国保险法第一百六十五条,条级引用1条/文件级引用12条/自身条款0条/最高层级依据法律,S3银邮渠道
RFN-8d08e4069595e6da,T1销售行为与消费者保护,中国银保监会办公厅关于开展银行保险机构侵害消费者权益乱象整治工作的通知,中国银保监会办公厅关于开展银行保险机构侵害消费者权益乱象整治工作的通知银保监办发〔2019〕194号,nfra,完整,无显式立法依据,,条级引用0条/文件级引用1条/自身条款0条/最高层级依据无显式依据,S2销售误导
RFN-73253ae1a83ce441,T1销售行为与消费者保护,中国银保监会关于银行保险机构加强消费者权益保护工作体制机制建设的指导意见,银保监发〔2019〕38号,nfra,完整,无显式立法依据,,条级引用0条/文件级引用1条/自身条款0条/最高层级依据无显式依据,S3银邮渠道
RFN-de6540d3191cfce5,T1销售行为与消费者保护,中国银保监会关于开展“巩固治乱象成果 促进合规建设”工作的通知,银保监发[2019]23号,nfra,完整,无显式立法依据,,条级引用0条/文件级引用0条/自身条款0条/最高层级依据无显式依据,S7适当性/新行为
RFN-ad1d22dc64f02096,T1销售行为与消费者保护,中国银保监会办公厅关于取消部分证明材料的通知,银保监办发〔2019〕181号,nfra,完整,国务院办公厅关于做好证明事项清理工作的通知(规范性文件),,条级引用0条/文件级引用1条/自身条款0条/最高层级依据规范性文件,S3银邮渠道
RFN-96b765bc4ce98ec5,T1销售行为与消费者保护,关于保险企业手续费及佣金支出税前扣除政策的公告,财政部、税务总局公告2019年第72号,mof,完整,财政部 国家税务总局关于企业手续费及佣金支出税前扣除政策的通知(规范性文件),财政部 国家税务总局关于企业手续费及佣金支出税前扣除政策的通知第二条; 财政部 国家税务总局关于企业手续费及佣金支出税前扣除政策的通知第一条,条级引用2条/文件级引用1条/自身条款0条/最高层级依据规范性文件,S1人员/中介
RFN-8956cecc20380d22,T1销售行为与消费者保护,中国银保监会关于规范互联网保险销售行为可回溯管理的通知,银保监发[2020]26号,nfra,完整,无显式立法依据,,条级引用0条/文件级引用1条/自身条款0条/最高层级依据无显式依据,S2销售误导
RFN-dbacd268f2e2a3ab,T1销售行为与消费者保护,互联网保险业务监管办法,中国银行保险监督管理委员会令[2020]13号,nfra,完整,中华人民共和国保险法(法律),,条级引用0条/文件级引用6条/自身条款4条/最高层级依据法律,S4互联网/电话
RFN-51abefb17e408d4d,T1销售行为与消费者保护,保险代理人监管规定,中国银行保险监督管理委员会令[2020]11号,nfra,完整,中华人民共和国保险法(法律); 保险法(法律),中华人民共和国公司法第一百四十六条,条级引用1条/文件级引用7条/自身条款9条/最高层级依据法律,S1人员/中介
RFN-538246b44e55863d,T1销售行为与消费者保护,中国银行保险监督管理委员会办公厅关于发展独立个人保险代理人有关事项的通知,银保监办发[2020]118号,supp,完整,中华人民共和国保险法(法律),中华人民共和国保险法第一百三十一条,条级引用1条/文件级引用2条/自身条款0条/最高层级依据法律,S1人员/中介
