唯一键,监管文件编号,文件名称,发文字号,文件指纹,登记时间
保监发201075,RFN-8615ad49a2a4ff13,中国保监会关于第五批取消行政审批项目的通知,保监发〔2010〕75号,,2026-08-29 04:27:36
保监发200971,RFN-f76b806101d71f4a,关于保险业深入贯彻医改意见 积极参与多层次医疗保障体系建设的意见,保监发〔2009〕71号,,2026-08-29 04:27:36
保监发2008121,RFN-5203687078b13184,关于调整保险业务监管费收费标准及收费办法有关事项的通知,保监发〔2008〕121号,,2026-08-29 04:27:36
保监发200884,RFN-9b1a16df167c1bb7,中国保监会关于成立第二次保险业经济普查领导小组的通知（已失效）,保监发〔2008〕84号,,2026-08-29 04:27:36
保监厅发20084,RFN-726acac621ac4209,关于加强保险业抗灾救灾应急处置工作的通知（已失效）,保监厅发〔2008〕4号,,2026-08-29 04:27:36
保监发2007110,RFN-28592205e5bf65d0,关于加快天津滨海新区保险改革试验区创新发展的意见,保监发〔2007〕110号,,2026-08-29 04:27:36
保监厅发200745,RFN-88ca7d111533e829,关于开展保险业信息系统安全等级保护定级工作的通知,保监厅发〔2007〕45号,,2026-08-29 04:27:36
保监法规2007427,RFN-43787614b41f70d6,关于印发《关于推进保险合同纠纷快速处理机制试点工作的指导意见》的通知,保监法规〔2007〕427号,,2026-08-29 04:27:36
保监发200697,RFN-b09313ce7d503d34,关于印发《中国保险业发展“十一五”规划纲要》的通知,保监发〔2006〕97号,,2026-08-29 04:27:36
保监发200665,RFN-113e16a1bc5168f3,关于印发《关于保险业开展不正当交易行为自查自纠工作的实施意见》的通知（已失效）,保监发〔2006〕65号,,2026-08-29 04:27:36
保监发200626,RFN-77730ccf342b7096,关于印发《关于保险业开展治理商业贿赂专项工作的实施意见》的通知（已废止）,保监发〔2006〕26号,,2026-08-29 04:27:36
保监发200613,RFN-79b631bc8feb3313,关于调整保险业务监管费收费标准和收费办法的通知,保监发〔2006〕13号,,2026-08-29 04:27:36
保监发200518,RFN-28398a5340b9cd20,关于废止部分规范性文件的通知,保监发〔2005〕18号,,2026-08-29 04:27:36
保监发20057,RFN-06e6f7e1ded1d4ad,关于进一步加强保险业诚信建设的通知（已废止）,保监发〔2005〕7号,,2026-08-29 04:27:36
MD5:a613480f555526ec328e342856f19e54,RFN-9334fdf16b283e1a,保险保障基金管理办法（已失效）,N/A,,2026-08-29 04:27:37
保监会令20014,RFN-d0c1746c53b0665a,保险代理机构管理规定（已废止）,保监会令[2001]4号,,2026-08-29 04:27:37
保监发20002,RFN-7c332846273ed3ae,保险公司管理规定（已失效）,保监发[2000]2号,,2026-08-29 04:27:37
保监发200425,RFN-c32d310682f19c37,关于印发中国保监会派出机构内设处室及主要职责的通知,保监发〔2004〕25号,,2026-08-29 04:27:37
保监发200417,RFN-d63780aab73653cc,关于印发《中国保监会关于加强保险行业协会建设的指导意见》的通知（已废止）,保监发〔2004〕17号,,2026-08-29 04:27:37
保监发200366,RFN-40e020d72572dc40,关于印发《保险业开发针对非典新产品的指导意见》的通知（已失效）,保监发〔2003〕66号,,2026-08-29 04:27:37
保监发200296,RFN-f96b7b0074545099,关于加强保险业宣传工作的通知（已失效）,保监发〔2002〕96号,,2026-08-29 04:27:37
保监发200374,RFN-9a761bc98d8dfe08,关于印发《保险公司投资企业债券管理暂行办法》的通知（已废止）,保监发〔2003〕74号,,2026-08-29 04:27:37
保监发20039,RFN-0fd2f7401e7f689e,关于重新修订《保险公司购买中央企业债券管理办法》的通知（已废止）,保监发〔2003〕9号,,2026-08-29 04:27:37
保监发2005107,RFN-93cf24eecccf929b,关于加强保险中介从业人员继续教育管理工作的通知（已废止）,保监发〔2005〕107号,,2026-08-29 04:27:37
保监发200546,RFN-aa25448f04553219,关于2005年下半年保险代理从业人员资格考试有关事项的通知,保监发〔2005〕46号,,2026-08-29 04:27:37
国办发200519,RFN-5b0aaf8d4e169369,关于开展2005年整顿和规范保险市场秩序工作的通知,国办发〔2005〕19号,,2026-08-29 04:27:37
2022第1,RFN-2d7c38ba49a7bec5,中国人民银行 中国银行保险监督管理委员会 中国证券监督管理委员会令〔2022〕第1号（金融机构客户尽职调查和客户身份资料及交易记录保存管理办法）,〔2022〕第1号,,2026-08-29 04:27:37
国发202012,RFN-162cd1b11b7b45d0,中国人民银行令〔2020〕第4号（金融控股公司监督管理试行办法）,国发〔2020〕12号,,2026-08-29 04:27:37
财政部税务总局公告2025年第15,RFN-f8f89bbed0acaedf,关于保险合同准则转换有关企业所得税处理事项的公告,财政部 税务总局公告2025年第15号,,2026-08-29 04:27:37
财社20221,RFN-009f8e408aa5c4d5,关于修订《中央财政城乡居民基本医疗保险补助资金管理办法》的通知,财社〔2022〕1号,,2026-08-29 04:27:38
财税201920,RFN-4f65ef6fbb1ae140,关于明确养老机构免征增值税等政策的通知,财税〔2019〕20号,,2026-08-29 04:27:38
金发20268,RFN-3144793e0cf8551b,国家金融监督管理总局关于银行业保险业人工智能安全开发应用的指导意见,金发[2026]8号,,2026-08-29 04:27:38
MD5:2d89c1a384ea617481d020c7a6d07bcf,RFN-fd23ced41244be9d,科技部 金融监管总局 工业和信息化部 国家知识产权局印发《关于加快推动科技保险高质量发展 有力支撑高水平科技自立自强的若干意见》的通知,N/A,,2026-08-29 04:27:38
金办发202571,RFN-b56ccd1ba6ce6c7b,国家金融监督管理总局办公厅印发《关于银行业保险业支持福建建设两岸融合发展示范区的若干措施》的通知,金办发[2025]71号,,2026-08-29 04:27:38
金发20259,RFN-c8cf8b8feb8be070,国家金融监督管理总局关于香港、澳门金融机构入股保险公司有关事项的通知,金发[2025]9号,,2026-08-29 04:27:38
金规20245,RFN-3dccbb28eae7bc24,国家金融监督管理总局关于推动绿色保险高质量发展的指导意见,金规[2024]5号,,2026-08-29 04:27:38
银保监发202216,RFN-3a38f57a4a85e2c7,中国银保监会 上海市人民政府关于印发中国（上海）自由贸易试验区临港新片区科技保险创新引领区工作方案的通知,银保监发[2022]16号,,2026-08-29 04:27:38
银保监发202210,RFN-7e33cdb0dc08ada8,中国银保监会关于银行业保险业支持城市建设和治理的指导意见,银保监发[2022]10号,,2026-08-29 04:27:38
银保监办发20222,RFN-7401ccdf3b72c1be,中国银保监会办公厅关于银行业保险业数字化转型的指导意见,银保监办发[2022]2号,,2026-08-29 04:27:38
银保监发202138,RFN-bb9ed4da49e5a932,中国银保监会关于印发全国银行业保险业开展法治宣传教育的第八个五年规划（2021-2025年）的通知,银保监发[2021]38号,,2026-08-29 04:27:38
银保监办发2020129,RFN-75f5ada513870132,中国银保监会办公厅关于深化银行业保险业“放管服”改革 优化营商环境的通知,银保监办发[2020]129号,,2026-08-29 04:27:38
银保监发202047,RFN-a79d07f6acb16143,中国银保监会 财政部 生态环境部关于印发核保险巨灾责任准备金管理办法的通知,银保监发[2020]47号,,2026-08-29 04:27:38
银保监办发202040,RFN-a63c24c77745c181,中国银保监会关于印发健全银行业保险业公司治理三年行动方案（2020—2022年）的通知,银保监办发〔2020〕40号,,2026-08-29 04:27:38
银保监发202027,RFN-d87f91e80a21f732,中国银保监会关于开展银行业保险业市场乱象整治“回头看”工作的通知,银保监发[2020]27号,,2026-08-29 04:27:39
保险机构参与中国金融期货证监会公告202012,RFN-0bab2c662362a3b1,中国证券监督管理委员会、财政部、中国人民银行、中国银行保险监督管理委员会关于商业银行、保险机构参与中国金融期货交易所国债期货交易的公告,保险机构参与中国金融期货证监会公告〔2020〕12号,,2026-08-29 04:27:39
银保监发201952,RFN-c52c03ee0ac9f135,中国银保监会关于推动银行业和保险业高质量发展的指导意见,银保监发[2019]52号,,2026-08-29 04:27:39
MD5:c2c523107eb316c265f9b115569d7fc6,RFN-cf2b8f2b5b03b772,中国银保监会现场检查办法（试行）(中国银行保险监督管理委员会令2019年第7号),N/A,,2026-08-29 04:27:39
银保监办发201998,RFN-dfd287d5f2f0c127,中国银保监会办公厅关于明确保险资产负债管理报告报送要求的通知,银保监办发〔2019〕98号,,2026-08-29 04:27:39
MD5:7283f4092bbdd2450bce09c977cd1303,RFN-ba99e1d3cdba2d2f,银行业金融机构反洗钱和反恐怖融资管理办法（中国银行保险监督管理委员会令2019年第1号）,N/A,,2026-08-29 04:27:39
中国银保监会关于银行业和保险业做好扫黑除恶专项斗争有关工作的通知银保监发201845,RFN-635f918856e44fe0,中国银保监会关于银行业和保险业做好扫黑除恶专项斗争有关工作的通知,中国银保监会关于银行业和保险业做好扫黑除恶专项斗争有关工作的通知银保监发〔2018〕45号,,2026-08-29 04:27:39
保监财会201847,RFN-49493953265901e8,中国保监会关于印发《全国性保险业社团组织收费管理暂行办法》的通知,保监财会〔2018〕47号,,2026-08-29 04:27:39
保监统信20187,RFN-b4cdf56e50c9be98,中国保监会关于调整“保险金额”“签单数量”等保险监管统计指标报送频率的通知,保监统信〔2018〕7号,,2026-08-29 04:27:39
保监发201794,RFN-93f51bde3c1d9108,中国保监会关于印发《保险标准化工作管理办法》的通知,保监发〔2017〕94号,,2026-08-29 04:27:39
保监发201766,RFN-3678cb752c5eda74,中国保监会关于印发《中国保监会关于加强保险消费风险提示工作的意见》的通知,保监发〔2017〕66号,,2026-08-29 04:27:39
保监财会2017181,RFN-00b4620493bc84d7,中国保监会关于暂免征保险业监管费有关事项的通知,保监财会〔2017〕181号,,2026-08-29 04:27:39
MD5:e54708b80af1ad5d69dab3e97dfcfa25,RFN-158388ecc846aa51,关于《国家税务总局 财政部 中国人民银行 中国银行业监督管理委员会 中国证券监督管理委员会 中国保险监督管理委员会关于发布〈非居民金融账户涉税信息尽职调查管理办法〉的公告》的解读,N/A,,2026-08-29 04:27:40
保监发201742,RFN-0cc7605e7139d3a1,中国保监会关于保险业支持实体经济发展的指导意见,保监发〔2017〕42号,,2026-08-29 04:27:40
保监发20179,RFN-6a8af52972fe9707,中国保监会关于进一步加强保险资金股票投资监管有关事项的通知,保监发〔2017〕9号,,2026-08-29 04:27:40
法2016374,RFN-1424066b74b361a3,关于全面推进保险纠纷诉讼与调解对接机制建设的意见,法〔2016〕374号,,2026-08-29 04:27:40
保监发201671,RFN-90ec65df04036cdd,中国保监会关于保险公司在全国中小企业股份转让系统挂牌有关事项的通知,保监发〔2016〕71号,,2026-08-29 04:27:40
保监厅发201624,RFN-797de304b1174246,中国保监会办公厅关于进一步加强保险业信访工作的指导意见,保监厅发〔2016〕24号,,2026-08-29 04:27:40
保监发2016103,RFN-5326484af2535c80,中国保监会关于调整保险业监管费和保险罚没收入缴款方式等有关事项的通知,保监发〔2016〕103号,,2026-08-29 04:27:40
保监发201615,RFN-7d3684c4a1ea4c21,中国保监会关于印发《深化保险标准化工作改革方案》的通知,保监发〔2016〕15号,,2026-08-29 04:27:40
保监发20167,RFN-7f93b2baccc05369,中国保监会关于全面推进保险法治建设的指导意见,保监发〔2016〕7号,,2026-08-29 04:27:40
保监发2015129,RFN-dcdc09f305205cdb,中国保监会关于印发《保险业功能服务指标体系》的通知,保监发〔2015〕129号,,2026-08-29 04:27:40
保监稽查2015263,RFN-ab8b77719a0bd5d3,中国保监会关于进一步做好保险业防范和处置非法集资工作的通知,保监稽查〔2015〕263号,,2026-08-29 04:27:40
保监发2015112,RFN-ad4dd121386851e0,中国保监会关于印发《保险法人机构公司治理评价办法（试行）》的通知,保监发〔2015〕112号,,2026-08-29 04:27:40
保监发2015106,RFN-9c51b2b68524b536,中国保监会关于保险业服务京津冀协同发展的指导意见,保监发〔2015〕106号,,2026-08-29 04:27:41
MD5:3f5a0271a944cd5c413b154d2a2ee1ee,RFN-b7c9a94d4eb64cf7,中国保险监督管理委员会行政处罚程序规定（2015年修订）,N/A,,2026-08-29 04:27:41
保监发2015100,RFN-84daea421e7dcede,中国保监会关于修改《中国保监会关于严格规范非保险金融产品销售的通知》的通知,保监发〔2015〕100号,,2026-08-29 04:27:41
保监资金2015114,RFN-5074d178c64406e8,中国保监会关于保险资产管理产品参与融资融券债权收益权业务有关问题的通知,保监资金〔2015〕114号,,2026-08-29 04:27:41
保监厅发201542,RFN-23fb8f845baf5965,中国保监会办公厅关于优化保险公司章程修改等审批程序的通知,保监厅发〔2015〕42号,,2026-08-29 04:27:41
MD5:571f4b84325956e37d7e46d6909fecff,RFN-01e25fd1bd2c5bc5,中国保险监督管理委员会关于修改《中国保险监督管理委员会行政处罚程序规定》的决定,N/A,,2026-08-29 04:27:41
保监厅发201519,RFN-eaba3583544d0cff,中国保监会办公厅关于贯彻实施《中国保险业信用体系建设规划（2015-2020年）》的通知,保监厅发〔2015〕19号,,2026-08-29 04:27:41
保监发201511,RFN-7a5d67f0c297bd89,中国保监会关于印发《相互保险组织监管试行办法》的通知,保监发〔2015〕11号,,2026-08-29 04:27:41
MD5:7d3d32001db994bc358c817eb2a18500,RFN-27a40e9d7443d407,保险违法行为举报处理工作办法,N/A,,2026-08-29 04:27:41
保监发201438,RFN-8924608a7e543b00,关于保险资金投资集合资金信托计划有关事项的通知,保监发〔2014〕38号,,2026-08-29 04:27:41
保监发201426,RFN-f289130b5d8a2fd1,中国保监会关于印发《保险公司收购合并管理办法》的通知,保监发〔2014〕26号,,2026-08-29 04:27:41
保监发201377,RFN-c83199dcc16c369d,中国保监会关于印发《大病保险统计制度（试行）》的通知,保监发〔2013〕77号,,2026-08-29 04:27:41
保监消保2013634,RFN-f1d2465f3a63ec8c,中国保监会关于禁止强制销售保险的紧急通知,保监消保〔2013〕634号,,2026-08-29 04:27:42
保监发201336,RFN-2518efc21ba4410e,中国保监会关于规范有限合伙式股权投资企业投资入股保险公司有关问题的通知,保监发〔2013〕36号,,2026-08-29 04:27:42
保监厅发201320,RFN-ea87b9c442d27464,关于规范保险机构向中国保险监督管理委员会报送文件的通知,保监厅发〔2013〕20号,,2026-08-29 04:27:42
保监发201324,RFN-b9f342fc87f344e4,中国保监会关于印发《保险公司偿付能力报告编报规则——问题解答第15号：信用风险评估方法和信用评级》等5项问题解答的通知,保监发〔2013〕24号,,2026-08-29 04:27:42
保监发201318,RFN-df2ad88fbaa24dee,中国保监会关于印发《保险公司发展规划管理指引》的通知,保监发〔2013〕18号,,2026-08-29 04:27:42
保监资金2013124,RFN-06f7b3078ec01834,中国保监会关于保险资产管理公司开展资产管理产品业务试点有关问题的通知,保监资金〔2013〕124号,,2026-08-29 04:27:42
