监管文件编号,主题,文件名,发文字号,匹配源,决策,置信度,A强信号关键词,B销售代理关键词,C泛化关键词,X排除关键词,命中摘录,可用正文长度,全文状态
RFN-0684729d60cd7da4,T2产品与精算制度,关于印发《保险公司非寿险业务准备金回溯分析管理办法》的通知,的通知保监发〔2012〕46号,nfra,EXCLUDE,中,,,保单|保险公司|偿付能力,财产保险公司,[meta]…回溯分析管理办法》的通知 关于印发《保险公司非寿险业务准备金回溯分析管理办法》的通知保监发〔2012〕46号各财产保险公司：　　为加强准备金评估充足性监管，及时掌握各财产保险公司准备金评估的质量，规范非寿险业务准备金评估回溯分析工作…,9092,已提取-可全文
RFN-06e6f7e1ded1d4ad,T1销售行为与消费者保护,关于进一步加强保险业诚信建设的通知（已废止）,保监发〔2005〕7号,nfra,BOUNDARY,低,健康险,,,,[body]…询系统，并在此基础上逐步实现全国联网，为全面加强保险业诚信建设奠定基础；要从广大被保险人反映最强烈的机动车险、健康险理赔服务等方面入手，明确承诺理赔服务的时间、程序、标准等，逐步制定行业服务标准，向社会公开承诺，并通过签订自律…,3979,已提取-可全文
RFN-06e9db9338123380,T2产品与精算制度,关于修订短期意外伤害保险法定责任准备金评估有关事项的通知（已废止）,保监寿险〔2008〕671号,nfra,INCLUDE,中,健康保险|养老保险公司|寿险,,,,[meta]…关于修订短期意外伤害保险法定责任准备金评估有关事项的通知（已废止） 保监寿险〔2008〕671号。各寿险公司、养老保险公司、健康保险公司：。为促进短期意外伤害保险的发展，规范业务、财务管…,1716,已提取-可全文
RFN-06f7b3078ec01834,T5资金运用与资产负债管理,中国保监会关于保险资产管理公司开展资产管理产品业务试点有关问题的通知,保监资金〔2013〕124号,nfra,BOUNDARY,低,,,保险公司|保险资产管理|保险资金,,[title]…中国保监会关于保险资产管理公司开展资产管理产品业务试点有关问题的通知 保监资金〔2013〕124号。各保险集团（控股）公司、保险公司、保…,3634,已提取-可全文
RFN-07aafd48a9f30367,T10数据治理与信息披露,中国保监会关于印发《保险业服务新型城镇化发展的指导意见》的通知,保监发〔2014〕25号,nfra,BOUNDARY,低,人身保险|健康保险|养老保险|寿险,,,保险中介机构,[body]…区发展。积极发展商业健康保险，分担社会医疗成本。开发长期护理保险及与健康管理等相关的商业健康保险产品。建立基本寿险保障计划，大力发展定期寿险、意外险等保障类人身保险，推广“家有保险”活动。 （四）加快大病保险整体推进步伐。加…,7175,已提取-可全文
RFN-07f18128a3d26c01,T6养老与健康保险专项,中国银保监会办公厅关于进一步规范健康保障委托管理业务有关事项的通知,银保监办发[2020]13号,nfra,BOUNDARY,低,健康保险,,,,[body]…失能收入损失审核和费用支付、护理审核和费用支付等经办管理服务。二、保险公司开展健康保障委托管理业务，应当符合《健康保险管理办法》有关经营健康保险的各项条件，并在开办地区设有分支机构或服务合作机构。三、保险公司开展健康保障委托管理…,4313,已提取-可全文
RFN-081ecf9726662d05,T5资金运用与资产负债管理,关于保险外汇资金投资境外股票有关问题的通知（已废止）,保监发〔2005〕55号,nfra,BOUNDARY,低,,,保险公司|保险机构|保险资产管理|保险资金,,[meta]…关于保险外汇资金投资境外股票有关问题的通知（已废止） 保监发〔2005〕55号。各保险公司、保险资产管理公司：。为进一步拓宽保险资金运用渠道，调整投资组合，逐步提高收益，经国务院批准，允许保险外汇资金…,1083,已提取-可全文
RFN-083a6756e550da1d,T1销售行为与消费者保护,中国银保监会关于服务煤电行业正常生产和商品市场有序流通 保障经济平稳运行有关事项的通知,银保监发[2021]42号,nfra,EXCLUDE,中,,,保险机构|保险资金,商业银行,[body]…。二、保障煤电、煤炭、钢铁、有色金属等生产企业合理融资需求。督促银行保险机构特别是开发性、政策性银行，国有大型商业银行，全国性股份制银行，全力做好今冬明春能源电力保供金融服务工作，满足能源电力供应合理资金需求。对符合支持条件的煤…,3699,已提取-可全文
RFN-086a92ec84a58020,T2产品与精算制度,中国保监会关于普通型人身保险费率政策改革有关事项的通知,保监发〔2013〕62号,nfra,INCLUDE,高,人身保险|人身保险公司|健康保险|养老保险|寿险,,,,[title]…中国保监会关于普通型人身保险费率政策改革有关事项的通知 保监发〔2013〕62号。各人身保险公司、各保监局：。为建立符合社会主义市场经济规…,3503,已提取-可全文
RFN-08b2998991d6554e,T6养老与健康保险专项,关于试行养老保障委托管理业务有关事项的通知,保监发〔2009〕129号,nfra,INCLUDE,中,养老保险|养老保险公司|寿险,,,商业银行,[meta]…关于试行养老保障委托管理业务有关事项的通知 保监发〔2009〕129号。各保监局、各养老保险公司：。为促进保险业积极参与构建多层次养老保障体系，推动养老保险专业化发展，我会决定由养老保险公司试行养老保障委托…,4875,已提取-可全文
RFN-091f79fe4e660f39,T10数据治理与信息披露,中国保监会关于保险业支持经济结构调整和转型升级的指导意见,保监发〔2013〕69号,nfra,BOUNDARY,低,人身保险|健康保险|养老保险,,,保险中介机构|公估机构|金融资产,[body]…其提供意外、养老、医疗、生育等多层次、多类别和长期均衡的保障，提高新型城镇化的质量。支持保险公司大力发展保障型人身保险产品，做好大病保险试点工作，推进个人税延型养老保险试点，稳定居民收入预期，增强居民消费意愿。支持保险公司发展与…,6012,已提取-可全文
RFN-0954ada2061d54e9,T10数据治理与信息披露,中国保监会办公厅、北京市金融工作局、北京市石景山区人民政府关于印发《关于加快推动北京保险产业园创新发展的实施办法》的通知,保监厅发〔2015〕83号,nfra,BOUNDARY,低,人身保险|健康保险|养老保险,,,保险中介机构|商业银行|基金管理公司|证券公司,[body]…产业链，提高行业服务水平。 第十条  稳步推进保险交易所试点建设。探索开展保单贴现交易，积极研究建立财产保险、人身保险、保险衍生品等场内集中交易场所。 第十一条  探索在保险产业园建立巨灾风险证券化交易场所，试点开发巨灾债券、巨…,8083,已提取-可全文
RFN-09c044ca641aad9d,T3资本与偿付能力监管,关于保险集团（控股）公司、相互制保险公司资本保证金提存有关问题的通知,保监发〔2008〕66号,nfra,BOUNDARY,低,,,保险公司|保险机构,,[title]…关于保险集团（控股）公司、相互制保险公司资本保证金提存有关问题的通知 保监发〔2008〕66号。各保险集团（控股）公司、相互制保险公司：。根据《保险法…,1178,已提取-可全文
RFN-09c4307bd21bd273,T10数据治理与信息披露,关于印发修订后的保险统计制度的通知,保监发〔2006〕127号,nfra,BOUNDARY,低,,,保险公司|保险资产管理,,[meta]…关于印发修订后的保险统计制度的通知 保监发〔2006〕127号。各保监局，各保险公司、保险资产管理公司、保险公司筹备组、保险资产管理公司筹备组：。根据财政部修订的企业会计准则，我会对现行保险统计…,2182,已提取-可全文
RFN-0a0662ee669a6523,T4公司治理与股权关联交易,企业会计准则关联方关系及其交易的披露,,supp,EXCLUDE,—,,,,,,3757,已提取-可全文
RFN-0a354aa38c08bc67,T0上位法锚点,中华人民共和国个人信息保护法,,supp,BOUNDARY,低,,,保险销售,,[meta]…法律（8章74条）：个人信息处理规则（同意/敏感信息/自动化决策）、跨境提供、个人权利、处理者义务、法律责任；保险销售个人信息保护直接上位法。 全国人民代表大会常务委员会   个人信息/同意/敏感信息 中华人民共和国个人信息保护…,18565,已提取-可全文
RFN-0a6ea3a5f8d44a36,T3资本与偿付能力监管,关于印发《保险公司偿付能力报告编报规则——问题解答第11号：动态偿付能力测试的第三方独立审核》的通知,保监发〔2011〕2号,nfra,BOUNDARY,低,人寿保险公司|寿险,,,,[meta]…：动态偿付能力测试的第三方独立审核》。现予印发，请遵照执行。《保险公司偿付能力报告编报规则——问题解答第7号：寿险公司动态偿付能力测试的第三方独立审核》同时废止。中国保险监督管理委员会。二○一一年一月七日。     保监发〔…,5070,已提取-可全文
RFN-0a88218a43d6dc15,T3资本与偿付能力监管,中华人民共和国增值税法,N/A,,—,—,,,,,,0,未在五源cleaned收录
RFN-0aca4aa4b64c658d,T2产品与精算制度,关于保险业实施《企业会计准则解释第2号》有关事项的通知,保监发〔2009〕1号,nfra,BOUNDARY,低,人寿保险|寿险,,,,[body]…副主席） 副组长：王新棣（保监会财务会计部主任） 应 唯（财政部会计司副司长） 成 员：保监会发改部、产险部、寿险部、统信部部门负责人 陆建桥（财政部会计司准则一处处长） 庄作瑾（中国人寿保险集团副总裁） 吴达川（中国太平洋…,2970,已提取-可全文
RFN-0b6631bb23443a81,T8机构准入与组织监管,中国银保监会行政许可实施程序规定,中国保险监督管理委员会令[2020]7号,nfra,BOUNDARY,低,,,保险机构,银行业|银行业金融机构,[meta]…和国保险法》《中华人民共和国行政许可法》等法律及行政法规，制定本规定。第二条 银保监会依照本规定的程序，对银行保险机构及银保监会监督管理的其他金融机构实施行政许可。 法规部    第一章 总 则第一章 总 则第一条 为规范中国银…,10441,已提取-可全文
RFN-0b67e315153d21ba,T1销售行为与消费者保护,关于启用保险代理从业人员基本资格证书和展业证书的通知（已失效）,保监发〔2001〕135号,nfra,INCLUDE,中,,保险代理人,保险公司,,[meta]…从业人员基本资格证书和展业证书已投入印制，现将有关使用事项通知如下：。一、自本文印发之日起，各保监办停止发放“保险代理人资格证书”，开始发放“保险代理从业人员基本资格证书”。原已发放的“保险代理人资格证书”继续有效，换证事宜由各保…,827,已提取-可全文
RFN-0b7c659e3b176c41,T5资金运用与资产负债管理,关于保险机构投资者股票投资有关问题的通知,保监发〔2005〕14号,nfra,INCLUDE,中,寿险,,,商业银行,[meta]…行）》（以下简称《托管指引》）等规定，现将保险机构投资者股票投资有关问题通知如下：。一、保险公司应当根据产险、寿险资金的特性，制定股票投资策略方案，并向中国保监会提出股票投资业务申请。     保监发〔2005〕14号 各保…,4040,已提取-可全文
RFN-0bab2c662362a3b1,T5资金运用与资产负债管理,中国证券监督管理委员会、财政部、中国人民银行、中国银行保险监督管理委员会关于商业银行、保险机构参与中国金融期货交易所国债期货交易的公告,保险机构参与中国金融期货证监会公告〔2020〕12号,nfra,EXCLUDE,中,,,保险机构,商业银行,[title]…中国证券监督管理委员会、财政部、中国人民银行、中国银行保险监督管理委员会关于商业银行、保险机构参与中国金融期货交易所国债期货交易的公告 关于商业银行、保险机构参与中国金融期货证监会公告〔2020…,1318,已提取-可全文
RFN-0bd05ec945959c93,T6养老与健康保险专项,关于保险业参与新型农村合作医疗情况的函,保监厅函〔2005〕152号,nfra,INCLUDE,中,人寿保险|人寿保险公司,,,,[body]…性。现将有关情况函告如下： 一、保险公司参与新农合的基本情况 （一）保险公司参与新农合的试点范围与规模 太平洋人寿保险公司（简称“太平洋人寿”）从2001年11月就开始参与江苏省江阴市农村大病医疗统筹业务。截止2005年6月30日，…,5656,已提取-可全文
RFN-0bd80ef2b6fcaebc,T1销售行为与消费者保护,中国保监会关于印发《人身保险公司服务评价管理办法》的通知,保监发〔2013〕73号,nfra,INCLUDE,高,人寿保险公司|人身保险|人身保险公司|人身险公司|健康保险,,,,[title]…中国保监会关于印发《人身保险公司服务评价管理办法》的通知 保监发〔2013〕73号。各保监局，中国保险行业协会，各人寿保险公司、健康保险公司：…,10845,已提取-可全文
RFN-0c0effabceb78ad2,T3资本与偿付能力监管,关于保险公司加强偿付能力管理有关事项的通知,保监发〔2012〕55号,nfra,BOUNDARY,低,,,保险公司|偿付能力,,[title]…关于保险公司加强偿付能力管理有关事项的通知 保监发〔2012〕55号。各保险集团公司、保险公司：。为贯彻落实全国金融工作会…,3042,已提取-可全文
RFN-0c0ffca1ec828e1e,T10数据治理与信息披露,国家金融监督管理总局办公厅 中国人民银行办公厅关于印发《银行业保险业绿色金融高质量发展实施方案》的通知,金办发[2025]15号,nfra,EXCLUDE,中,,,保险产品|保险公司|保险机构|保险资产管理|保险资金|分支机构,商业银行|金融资产|银行业,[title]…国家金融监督管理总局办公厅 中国人民银行办公厅关于印发《银行业保险业绿色金融高质量发展实施方案》的通知 各金融监管局，中国人民银行上海总部、各省、自治区、直辖市及计划单列市…,14322,已提取-可全文
RFN-0cac56cb6ca84165,T2产品与精算制度,关于建立分红保险、投资连接保险报告制度的批复,保监寿[2000]19号,nfra,BOUNDARY,低,人寿保险|人寿保险公司,,,,[meta]…关于建立分红保险、投资连接保险报告制度的批复 保监寿[2000]19号。中国人寿保险公司，中国太平洋保险公司，中国平安保险股份有限公司，新华人寿保险股份有限公司，泰康人寿保险股份有限公司，新疆兵团保…,1003,已提取-可全文
RFN-0cc7605e7139d3a1,T5资金运用与资产负债管理,中国保监会关于保险业支持实体经济发展的指导意见,保监发〔2017〕42号,nfra,BOUNDARY,低,健康保险|养老保险,,,,[body]…病保险政策向建档立卡贫困人群的倾斜，形成基本医保、大病保险、社会救助等衔接机制。在总结试点经验基础上，推进税优健康保险在全国推广。积极推动个人税收递延养老保险试点政策出台并落地实施。鼓励保险公司创新开发产品，开展地方试点，准确把…,7229,已提取-可全文
RFN-0cf994eb737e99e3,T1销售行为与消费者保护,关于印发《加强保险消费者教育工作方案》的通知,保监发〔2008〕118号,nfra,EXCLUDE,中,,,保险产品|保险公司|保险机构|保险消费者|保险理赔,保险中介机构,[meta]…》的通知 保监发〔2008〕118号。各保监局，保监会机关各部门，中国保险行业协会，中国保险学会，各保险公司、保险中介机构：。为加强保险消费者教育工作，保护保险消费者权益，保监会制定了《加强保险消费者教育工作方案》。现予印发，请各单…,9507,已提取-可全文
RFN-0cfbb1fed4a02f5f,T1销售行为与消费者保护,关于调整保险代理从业人员基本资格考试有关事项的通知（已失效）,保监厅发〔2004〕50号,nfra,INCLUDE,中,人身保险,保险代理人,,,[body]…调整为上午 9 时至 11 时。  三、 命题范围 （一）单选题共计 80 分， 考核保险原理、 财产保险、 人身保险和相关法规四部分内容。  1、 保险原理知识占 30 分。 命题范围是：《保险原理与实务》（中国金融出版社出版…,1655,已提取-可全文
RFN-0d0e35388992d940,T10数据治理与信息披露,关于启用保险稽核软件系统的通知（已失效）,保监统信〔2006〕264号,nfra,EXCLUDE,中,,,保险公司|分支机构,财产险,[body]…006年3月1日。 二、适用范围 该软件将在保险现场稽核检查中使用，使用单位为保监会及其派出机构。该软件适用于财产险保险公司、人身险保险公司总公司及其分支机构的现场检查。 三、数据要求 各公司应按照保监会稽核检查要求，提供相关…,1318,已提取-可全文
RFN-0d3ddbb0d94865cf,T10数据治理与信息披露,银行保险机构资产管理产品信息披露管理办法,国家金融监督管理总局令[2025]10号,nfra,EXCLUDE,中,,,保险机构|保险资产管理,信托公司|商业银行|银行业,[meta]…总  则第一条  为了规范资产管理产品信息披露行为，保护资产管理产品投资者的合法权益，根据《中华人民共和国银行业监督管理法》《中华人民共和国商业银行法》《中华人民共和国信托法》《中华人民共和国保险法》等法律法规，以及《关于…,16606,已提取-可全文
RFN-0d3dfcedd6ac89eb,T5资金运用与资产负债管理,关于加强保险机构债券回购业务管理的通知,保监发〔2009〕106号,nfra,BOUNDARY,低,,,保险产品|保险公司|保险机构|保险资产管理|偿付能力,,[title]…关于加强保险机构债券回购业务管理的通知 保监发〔2009〕106号。各保险公司、保险资产管理公司：。为加强保险机构债券回购业务…,2974,已提取-可全文
RFN-0e1df71593d3a9f3,T8机构准入与组织监管,关于进一步规范保险中介市场准入的通知（已废止）,保监中介〔2012〕693号,nfra,EXCLUDE,中,,,保险公司|分支机构,保险公估|保险经纪机构,[body]…对本通知发布之前已经受理的设立申请， 继续按程序办理。  保监会将尽快修订《保险专业代理机构监管规定》、 《保险经纪机构监管规定》和《保险公估机构监管规定》， 完善保险中介市场准入机制， 促进保险中介转型升级。  中国保险监督管理…,875,已提取-可全文
RFN-0e22460fd96dca27,T1销售行为与消费者保护,关于人身保险业综合治理销售误导有关工作的通知,保监发〔2012〕14号,nfra,INCLUDE,高,人身保险|人身保险公司,保险兼业代理,,保险中介机构,[title]…关于人身保险业综合治理销售误导有关工作的通知 保监发〔2012〕14号。各保监局、各人身保险公司、中国保险行业协会:。为全…,7155,已提取-可全文
RFN-0e6c350ab17d6826,T1销售行为与消费者保护,关于加强保险中介从业人员继续教育管理工作的通知（已废止）,保监发〔2009〕70号,nfra,BOUNDARY,低,人身保险|健康保险,保险代理人,,保险中介机构|保险公估|保险经纪|保险经纪机构,[body]…、 保险合同； 3、 《保险法》； 4、 《保险中介相关法规汇编》； 5、 《保险职业道德教育读本》； 6、 人身保险的主要种类和人身保险合同； 7、 财产保险的主要种类和财产保险合同； 8、 意外伤害保险和健康保险； 9、 保…,3619,已提取-可全文
RFN-0e6d9c69e4edbc7d,T0上位法锚点,最高人民法院关于适用《中华人民共和国保险法》若干问题的解释（二）,N/A,,—,—,,,,,,0,未在五源cleaned收录
RFN-0e7ea628db199ba9,T9风险处置与案件合规,关于警惕和防范非法保险经营行为和保险诈骗活动的紧急通知（已废止）,保监发〔2003〕119号,nfra,INCLUDE,中,寿险,,,,[meta]…关于警惕和防范非法保险经营行为和保险诈骗活动的紧急通知（已废止） 保监发〔2003〕119号。各寿险公司、各保监办：。最近，一些不法人员在北京、上海、广东、河北等地区以传销方式售卖境外机构的“XX保险基金”或“…,1441,已提取-可全文
RFN-0ed1619c9f3b01f0,T9风险处置与案件合规,金融业经营者集中申报营业额计算办法,商务部 中国人民银行 银监会 证监会 保监会令[2009]10号,supp,EXCLUDE,中,,,保险公司,信托公司|商业银行|基金管理公司|证券公司|金融资产|银行业|银行业金融机构,[meta]…融业经营者集中申报营业额的计算办法及公式（银行、证券、期货、基金、保险分类规定）。 商务部、中国人民银行、中国银行业监督管理委员会、中国证券监督管理委员会、中国保险监督管理委员会    中华人民共和国商务部 中国人民银行 中国…,2075,已提取-可全文
