clean文号,clean标题,kind,matched_by,发文字号,建议,归属表文号,归属表标题,文件名称,文件来源,监管文件编号
银保监办发〔2019〕121号,中国银保监会办公厅关于保险资金参与信用风险缓释工具和信用保护工具业务的通知,legacy,title,,同名异版，人工复核是否登记新版,中国银保监会办公厅关于保险资金参与信用风险缓释工具和信用保护工具业务的通知银保监办发〔2019〕121号,中国银保监会办公厅关于保险资金参与信用风险缓释工具和信用保护工具业务的通知,,nfra,RFN-dcf8ffb8f9bc1eee
国办发〔2018〕47号,中国银保监会办公厅关于取消部分证明材料的通知,legacy,title,,同名异版，人工复核是否登记新版,银保监办发〔2019〕181号,中国银保监会办公厅关于取消部分证明材料的通知,,nfra,RFN-ad1d22dc64f02096
公告2019年第72号,关于保险企业手续费及佣金支出税前扣除政策的公告,legacy,title,,同名异版，人工复核是否登记新版,财政部、税务总局公告2019年第72号,关于保险企业手续费及佣金支出税前扣除政策的公告,,mof,RFN-96b765bc4ce98ec5
银保监发〔2021〕37号,中国银保监会关于印发保险公司分支机构市场准入管理办法的通知,legacy,title,,同名异版，人工复核是否登记新版,中国银保监会关于印发保险公司分支机构市场准入管理办法的通知银保监发〔2021〕37号,中国银保监会关于印发保险公司分支机构市场准入管理办法的通知,,nfra,RFN-2c5c046f3b50a096
,关于规范银行代理渠道保险产品的通知,legacy,title,,同名异版，人工复核是否登记新版,2023年,关于规范银行代理渠道保险产品的通知,,supp,RFN-181834bcb8e6bdfc
,关于银保产品管理有关事宜的通知,legacy,title,,同名异版，人工复核是否登记新版,2023年,关于银保产品管理有关事宜的通知,,supp,RFN-f1bcee8fe632f6b7
,关于强化管理促进人身险业务平稳健康发展的通知,legacy,title,,同名异版，人工复核是否登记新版,人身险部函【2023】428号,关于强化管理促进人身险业务平稳健康发展的通知,,supp,RFN-8c54a4db80812c50
银保监办发〔2020〕11号,中国银保监会办公厅关于推广人身保险电子化回访工作的通知,legacy,title,,同名异版，人工复核是否登记新版,,中国银保监会办公厅关于推广人身保险电子化回访工作的通知,,supp,RFN-ddf8280065cda015
,银行保险机构消费者权益保护管理办法,legacy,title,,同名异版，人工复核是否登记新版,中国银行保险监督管理委员会令2022年第9号,银行保险机构消费者权益保护管理办法,,nfra,RFN-e7f16ef940e67852
,中国银保监会关于进一步加强金融服务民营企业有关工作的通知,legacy,title,,同名异版，人工复核是否登记新版,银保监发〔2019〕8号,中国银保监会关于进一步加强金融服务民营企业有关工作的通知,,nfra,RFN-79dc56c0dec3a960
,中国银保监会办公厅关于授权派出机构实施部分行政许可事项的通知,legacy,title,,同名异版，人工复核是否登记新版,N/A,中国银保监会办公厅关于授权派出机构实施部分行政许可事项的通知,,nfra,RFN-c1ef5512ad05a651
,中国保险行业协会财产再保险比例及非比例合同范本（中文版）,legacy,title,,同名异版，人工复核是否登记新版,44511,中国保险行业协会财产再保险比例及非比例合同范本（中文版）,,supp,RFN-273a6711bb6f41b1
,保险公司营销服务部管理办法,legacy,title,,同名异版，人工复核是否登记新版,保监会令〔2002〕1号,保险公司营销服务部管理办法,,nfra,RFN-4eb8cd10ea814656
,保险公估机构管理规定,legacy,title,,同名异版，人工复核是否登记新版,保监会令〔2001〕3号,保险公估机构管理规定 ,,nfra,RFN-955e2d85ba32511d
,保险营销员管理规定,legacy,title,,同名异版，人工复核是否登记新版,保监会令〔2006〕3号,保险营销员管理规定,,nfra,RFN-cbab6f767d0dd52e
,人身保险公司保险条款和保险费率管理办法（2015年修订）,legacy,title,,同名异版，人工复核是否登记新版,保监会令2011年第3号（2015年修订）,人身保险公司保险条款和保险费率管理办法（2015年修订）,,nfra,RFN-bb9863080574cf5f
中国保险监督管理委员会令〔2009〕3号,人身保险新型产品信息披露管理办法,legacy,title,,同名异版，人工复核是否登记新版,保监会令〔2009〕3号,人身保险新型产品信息披露管理办法,,nfra,RFN-46e81a258a652e4f
国发〔2003〕5号,关于调整人身保险产品监管方式的通知（已失效）,legacy,title,,同名异版，人工复核是否登记新版,保监发〔2003〕46号,关于调整人身保险产品监管方式的通知（已失效）,,nfra,RFN-75e5969942c63ba7
,保险公司总精算师管理办法,legacy,title,,同名异版，人工复核是否登记新版,保监会令〔2007〕3号,保险公司总精算师管理办法,,nfra,RFN-45c3d6b1412b3e1e
保监发〔2000〕229号,关于印发《精算报告》的通知,legacy,title,,同名异版，人工复核是否登记新版,保监寿险〔2005〕8号,关于印发《精算报告》的通知,,nfra,RFN-4227deb76c02cc07
保监发〔2005〕111号,关于整改人身保险条款存在问题的通知（已废止）,legacy,title,,同名异版，人工复核是否登记新版,保监寿险〔2006〕318号,关于整改人身保险条款存在问题的通知（已废止）,,nfra,RFN-d14cffc28f570faa
国发〔2006〕23号,关于印发《关于促进人身保险产品创新工作的指导意见》的通知,legacy,title,,同名异版，人工复核是否登记新版,保监发〔2006〕110号,关于印发《关于促进人身保险产品创新工作的指导意见》的通知,,nfra,RFN-38b8fc384bf24f02
,关于印发投资连结保险万能保险精算规定的通知,legacy,title,,同名异版，人工复核是否登记新版,保监寿险〔2007〕335号,关于印发投资连结保险万能保险精算规定的通知,,nfra,RFN-0f42c3fb4db5e6d2
,关于修订短期意外伤害保险法定责任准备金评估有关事项的通知（已废止）,legacy,title,,同名异版，人工复核是否登记新版,保监寿险〔2008〕671号,关于修订短期意外伤害保险法定责任准备金评估有关事项的通知（已废止）,,nfra,RFN-06e9db9338123380
保监发〔2004〕76号,关于人身保险公司定期报送产品总结报告的通知,legacy,title,,同名异版，人工复核是否登记新版,保监寿险〔2010〕360号,关于人身保险公司定期报送产品总结报告的通知,,nfra,RFN-45f087c7eb811533
国发〔2006〕23号,关于印发《变额年金保险管理暂行办法》的通知,legacy,title,,同名异版，人工复核是否登记新版,保监发〔2011〕25号,关于印发《变额年金保险管理暂行办法》的通知,,nfra,RFN-0ed3d27380b27e03
保监发〔2012〕46号,关于印发《保险公司非寿险业务准备金回溯分析管理办法》的通知,legacy,title,,同名异版，人工复核是否登记新版,的通知保监发〔2012〕46号,关于印发《保险公司非寿险业务准备金回溯分析管理办法》的通知,,nfra,RFN-0684729d60cd7da4
保监发〔2010〕58号,关于编报保险公司非寿险业务准备金评估报告有关事项的通知,legacy,title,,同名异版，人工复核是否登记新版,保监产险〔2012〕651号,关于编报保险公司非寿险业务准备金评估报告有关事项的通知,,nfra,RFN-e8bea8508e4c5f61
保监发〔2010〕86号,中国保监会关于加强人身保险费率政策改革产品管理有关事项的通知,legacy,title,,同名异版，人工复核是否登记新版,保监寿险〔2015〕136号,中国保监会关于加强人身保险费率政策改革产品管理有关事项的通知,,nfra,RFN-0431c0ac1ebb6dde
保监发〔2010〕86号,中国保监会关于强化人身保险产品监管工作的通知,legacy,title,,同名异版，人工复核是否登记新版,保监寿险〔2016〕199号,中国保监会关于强化人身保险产品监管工作的通知,,nfra,RFN-2e965f2ed510a7f4
,保险资产管理产品管理暂行办法,legacy,title,,同名异版，人工复核是否登记新版,2020年第5号,《保险资产管理产品管理暂行办法》,,supp,RFN-161cccaeb7b7e417
,中华人民共和国保险法,legacy,title,,同名异版，人工复核是否登记新版,N/A,中华人民共和国保险法,,nfra,RFN-ae0c66a57b03979f
,人身保险新型产品信息披露管理暂行办法,legacy,title,,同名异版，人工复核是否登记新版,N/A,人身保险新型产品信息披露管理暂行办法,,nfra,RFN-3f113686e748a98f
,人身保险产品审批和备案管理办法,legacy,title,,同名异版，人工复核是否登记新版,保监会令〔2004〕6号,人身保险产品审批和备案管理办法,,nfra,RFN-35efc275afb4df57
,保险公司偿付能力额度及监管指标管理规定,legacy,title,,同名异版，人工复核是否登记新版,保监发[2001]53号,保险公司偿付能力额度及监管指标管理规定,,nfra,RFN-8ddaa2d599ece982
保监发〔2006〕5号,关于实施分类监管信息报送有关事宜的通知（寿险公司）（已失效）,legacy,title,,同名异版，人工复核是否登记新版,保监寿险〔2008〕1566号,关于实施分类监管信息报送有关事宜的通知（寿险公司）（已失效）,,nfra,RFN-3b40544dd49885be
国发〔2015〕11号,中国保监会关于印发《保险公司资本保证金管理办法》的通知,legacy,title,,同名异版，人工复核是否登记新版,保监发〔2015〕37号,中国保监会关于印发《保险公司资本保证金管理办法》的通知,,nfra,RFN-198b0a3f770628a7
国发〔2014〕29号,中国保监会关于保险资金投资政府和社会资本合作项目有关事项的通知,legacy,title,,同名异版，人工复核是否登记新版,保监发〔2017〕41号,中国保监会关于保险资金投资政府和社会资本合作项目有关事项的通知,,nfra,RFN-f1310e01c0706482
银发〔2022〕175号,中国人民银行 中国银行保险监督管理委员会关于保险公司发行无固定期限资本债券有关事项的通知,legacy,title,,同名异版，人工复核是否登记新版,关于保险公司发行无固定期限资本债券银发〔2022〕175号,中国人民银行 中国银行保险监督管理委员会关于保险公司发行无固定期限资本债券有关事项的通知,,nfra,RFN-dddd4931464533fa
银发〔2023〕208号,中国人民银行 国家金融监督管理总局关于印发《系统重要性保险公司评估办法》的通知,legacy,title,,同名异版，人工复核是否登记新版,国家金融监督管理总局关于银发〔2023〕208号,中国人民银行 国家金融监督管理总局关于印发《系统重要性保险公司评估办法》的通知,,nfra,RFN-d57b46072751dc21
发改〔2010〕169号,关于规范报送《保险公司治理报告》的通知,legacy,title,,同名异版，人工复核是否登记新版,保监发改〔2010〕169号,关于规范报送《保险公司治理报告》的通知,,nfra,RFN-9ce8ec282f0526f8
保监发〔2010〕89号,关于印发《人身保险公司年度全面风险管理报告框架》及风险监测指标的通知,legacy,title,,同名异版，人工复核是否登记新版,保监寿险〔2012〕193号,关于印发《人身保险公司年度全面风险管理报告框架》及风险监测指标的通知,,nfra,RFN-acd93c63e93e8743
保监厅发〔2014〕70号,中国保监会关于进一步规范报送《保险公司治理报告》的通知,legacy,title,,同名异版，人工复核是否登记新版,保监发改〔2015〕95号,中国保监会关于进一步规范报送《保险公司治理报告》的通知,,nfra,RFN-19067d53c35e632c
金办发〔2025〕19号,国家金融监督管理总局办公厅关于进一步扩大金融资产投资公司股权投资试点的通知,legacy,title,,同名异版，人工复核是否登记新版,金办发〔2025】19号,国家金融监督管理总局办公厅关于进一步扩大金融资产投资公司股权投资试点的通知,,supp,RFN-9d6751177b26d220
,关于加强保险资金风险管理的意见,legacy,title,,同名异版，人工复核是否登记新版,N/A,关于加强保险资金风险管理的意见,,nfra,RFN-970309c80fd69a0f
保监会令〔2012〕1号,保险公司控股股东管理办法,legacy,title,,同名异版，人工复核是否登记新版,N/A,保险公司控股股东管理办法,,nfra,RFN-0ee86948e7059ffb
保监会令〔2008〕4号,保险公司财务负责人任职资格管理规定,legacy,title,,同名异版，人工复核是否登记新版,N/A,保险公司财务负责人任职资格管理规定,,nfra,RFN-ea0b8b543675e41c
,财政部 证监会 审计署 银监会 保监会关于印发《企业内部控制基本规范》的通知,legacy,title,,同名异版，人工复核是否登记新版,N/A,财政部 证监会 审计署 银监会 保监会关于印发《企业内部控制基本规范》的通知,,nfra,RFN-76cc011d21ed3195
财会字〔1997〕21号,企业会计准则关联方关系及其交易的披露,legacy,title,,同名异版，人工复核是否登记新版,,企业会计准则关联方关系及其交易的披露,,supp,RFN-0a0662ee669a6523
,中华人民共和国公司法,legacy,title,,同名异版，人工复核是否登记新版,N/A,中华人民共和国公司法,,pbc,RFN-936a1959c84fb2c5
,关于修改《保险公司高级管理人员任职资格管理规定》有关条文的决定,legacy,title,,同名异版，人工复核是否登记新版,N/A,关于修改《保险公司高级管理人员任职资格管理规定》有关条文的决定,,nfra,RFN-4c8943024a0dad29
,保险公司高级管理人员任职资格管理规定,legacy,title,,同名异版，人工复核是否登记新版,N/A,保险公司高级管理人员任职资格管理规定,,nfra,RFN-f432dd77b4336bd4
,保险公司董事和高级管理人员任职资格管理规定,legacy,title,,同名异版，人工复核是否登记新版,N/A,保险公司董事和高级管理人员任职资格管理规定,,nfra,RFN-542be408992d9b6c
,保险资金境外投资管理暂行办法,legacy,title,,同名异版，人工复核是否登记新版,人民银行令〔2004〕9号,保险资金境外投资管理暂行办法,,nfra,RFN-5664287c8e0abdf3
保监会令〔2013〕4号,非保险机构投资境外保险类企业管理办法（保监会令2013年第4号）,legacy,title,,同名异版，人工复核是否登记新版,N/A,非保险机构投资境外保险类企业管理办法（保监会令2013年第4号）,,nfra,RFN-d9e570ad3732a7a1
国发〔2014〕29号,中国保监会关于保险资金投资创业投资基金有关事项的通知,legacy,title,,同名异版，人工复核是否登记新版,保监发〔2014〕101号,中国保监会关于保险资金投资创业投资基金有关事项的通知,,nfra,RFN-fe73537cf9518f03
国家发展和改革委员会令2017年第11号,企业境外投资管理办法,legacy,title,,同名异版，人工复核是否登记新版,发改委（2017）11号,企业境外投资管理办法,,supp,RFN-9b74f07a1333096a
保监会令〔2010〕9号,保险资金运用管理办法,legacy,title,,同名异版，人工复核是否登记新版,保险资金运用管理办法保监会令〔2018〕1号,保险资金运用管理办法,,nfra,RFN-e3d01cc01869fafc
国发〔2014〕43号,中国保监会 财政部关于加强保险资金运用管理 支持防范化解地方政府债务风险的指导意见,legacy,title,,同名异版，人工复核是否登记新版,保监发〔2018〕6号,中国保监会 财政部关于加强保险资金运用管理 支持防范化解地方政府债务风险的指导意见,,nfra,RFN-9377e5986668cec6
保监会令〔2016〕2号,保险资金间接投资基础设施项目管理办法,legacy,title,,同名异版，人工复核是否登记新版,N/A,保险资金间接投资基础设施项目管理办法,,nfra,RFN-8524c44509f7af89
,保险机构投资者股票投资管理暂行办法,legacy,title,,同名异版，人工复核是否登记新版,N/A,保险机构投资者股票投资管理暂行办法,,nfra,RFN-12cf62e3a31125ba
,保险资产管理公司管理暂行规定,legacy,title,,同名异版，人工复核是否登记新版,N/A,保险资产管理公司管理暂行规定,,nfra,RFN-7df79dfa0ca9273d
,关于印发《保险机构债券投资信用评级指引（试行）》的通知,legacy,title,,同名异版，人工复核是否登记新版,N/A,关于印发《保险机构债券投资信用评级指引（试行）》的通知,,nfra,RFN-982b10b931bbf439
国发〔2013〕35号,中国保监会关于印发《保险养老社区统计制度》的通知,legacy,title,,同名异版，人工复核是否登记新版,保监发〔2014〕107号,中国保监会关于印发《保险养老社区统计制度》的通知,,nfra,RFN-6d375356b1fc52a3
国发〔2013〕35号,中国保监会关于开展老年人住房反向抵押养老保险试点的指导意见,legacy,title,,同名异版，人工复核是否登记新版,保监发〔2014〕53号,中国保监会关于开展老年人住房反向抵押养老保险试点的指导意见,,nfra,RFN-631954dd3b562f8e
国办发〔2015〕57号,中国保监会关于印发《大病保险统计制度》的通知,legacy,title,,同名异版，人工复核是否登记新版,保监发〔2015〕105号,中国保监会关于印发《大病保险统计制度》的通知,,nfra,RFN-58dc072cb618f4a3
国发〔2013〕35号,中国保监会关于印发《老年人住房反向抵押养老保险试点统计制度》的通知,legacy,title,,同名异版，人工复核是否登记新版,保监发〔2015〕2号,中国保监会关于印发《老年人住房反向抵押养老保险试点统计制度》的通知,,nfra,RFN-26cc8f88f549e43e
国办发〔2015〕57号,中国保监会关于印发《保险公司城乡居民大病保险投标管理暂行办法》等制度的通知,legacy,title,,同名异版，人工复核是否登记新版,保监发〔2016〕86号,中国保监会关于印发《保险公司城乡居民大病保险投标管理暂行办法》等制度的通知,,nfra,RFN-9cf7ceade4f13ea1
国发〔2013〕35号,中国保监会关于延长老年人住房反向抵押养老保险试点期间并扩大试点范围的通知,legacy,title,,同名异版，人工复核是否登记新版,保监发〔2016〕55号,中国保监会关于延长老年人住房反向抵押养老保险试点期间并扩大试点范围的通知,,nfra,RFN-499af08f2e4fdabf
中国银行保险监督管理委员会令〔2019〕3号,健康保险管理办法（中国银行保险监督管理委员会令2019年第3号）,legacy,title,,同名异版，人工复核是否登记新版,N/A,健康保险管理办法（中国银行保险监督管理委员会令2019年第3号）,,nfra,RFN-bfd71798c8acfe26
公告2022年第34号,关于个人养老金有关个人所得税政策的公告,legacy,title,,同名异版，人工复核是否登记新版,财政部 税务总局公告2022年第34号,关于个人养老金有关个人所得税政策的公告,,mof,RFN-f6b71b89b644f82d
公告2024年21号,关于在全国范围实施个人养老金个人所得税优惠政策的公告,legacy,title,,同名异版，人工复核是否登记新版,财政部、税务总局公告2024年21号,关于在全国范围实施个人养老金个人所得税优惠政策的公告,,mof,RFN-2f005ad7b1c2f297
中国保险监督管理委员会令〔2007〕4号,保险公司养老保险业务管理办法,legacy,title,,同名异版，人工复核是否登记新版,N/A,保险公司养老保险业务管理办法,,nfra,RFN-e2c5cd1ddca78420
,健康保险管理办法,legacy,title,,同名异版，人工复核是否登记新版,N/A,健康保险管理办法,,nfra,RFN-45b8541b770ec99e
国发〔1998〕44号,关于配合社会基本医疗保险体制改革有关问题的通知（已失效）,legacy,title,,同名异版，人工复核是否登记新版,保监发[1999]7号,关于配合社会基本医疗保险体制改革有关问题的通知（已失效）,,nfra,RFN-fe6795164f58c973
中国人民银行令〔2006〕第1号,中国人民银行令〔2006〕第1号（金融机构反洗钱规定）,legacy,title,,同名异版，人工复核是否登记新版,N/A,中国人民银行令〔2006〕第1号（金融机构反洗钱规定）,,pbc,RFN-1d4569b0c83b8ca6
保监发〔2006〕26号,关于建立治理商业贿赂专项工作联系点的通知,legacy,title,,同名异版，人工复核是否登记新版,保监办〔2006〕362号,关于建立治理商业贿赂专项工作联系点的通知,,nfra,RFN-193d5f3bfd72bede
,金融业经营者集中申报营业额计算办法,legacy,title,,同名异版，人工复核是否登记新版,商务部 中国人民银行 银监会 证监会 保监会令[2009]10号,金融业经营者集中申报营业额计算办法,,supp,RFN-0ed1619c9f3b01f0
银办发〔2014〕263号,中国人民银行办公厅关于落实《金融机构反洗钱监督管理办法（试行）》有关事项的通知（银办发〔2014〕263号）,legacy,title,,同名异版，人工复核是否登记新版,〔2014〕263号,中国人民银行办公厅关于落实《金融机构反洗钱监督管理办法（试行）》有关事项的通知（银办发〔2014〕263号）,,pbc,RFN-19f865fb9d7b3de0
中国人民银行令〔2016〕第3号,中国人民银行令〔2025〕第10号（中国人民银行关于修改和废止部分规章的决定）,legacy,title,,同名异版，人工复核是否登记新版,中国人民银行令〔2025〕第10号,中国人民银行令〔2025〕第10号（中国人民银行关于修改和废止部分规章的决定）,,pbc,RFN-0fc9aeefcbbefd05
银办发〔2018〕130号,中国人民银行办公厅关于进一步加强反洗钱和反恐怖融资工作的通知（银办发〔2018〕130号）,legacy,title,,同名异版，人工复核是否登记新版,N/A,中国人民银行办公厅关于进一步加强反洗钱和反恐怖融资工作的通知（银办发〔2018〕130号）,,pbc,RFN-0fd9409edddf24bf
保监会令〔2019〕1号,银行业金融机构反洗钱和反恐怖融资管理办法,legacy,title,,同名异版，人工复核是否登记新版,银保监会令[2019]1号,银行业金融机构反洗钱和反恐怖融资管理办法,,nfra,RFN-73a29788b6ddf06c
,金融机构客户身份识别和客户身份资料及交易记录保存管理办法,legacy,title,,同名异版，人工复核是否登记新版,N/A,金融机构客户身份识别和客户身份资料及交易记录保存管理办法,,nfra,RFN-9049baa41cac759b
,保险业重大突发事件应急处理规定,legacy,title,,同名异版，人工复核是否登记新版,N/A,保险业重大突发事件应急处理规定,,nfra,RFN-d1e9c4ec9864d827
中国银行保险监督管理委员会令〔2018〕2号,保险公司信息披露管理办法（中国银行保险监督管理委员会令2018年第2号),legacy,title,,同名异版，人工复核是否登记新版,保监统信〔2010〕604号,保险公司信息披露管理办法（中国银行保险监督管理委员会令2018年第2号),,nfra,RFN-a38358ef731da863
中国保险监督管理委员会令2013年第1号,保险统计管理规定,legacy,title,,同名异版，人工复核是否登记新版,保监会令2013年第1号,保险统计管理规定,,supp,RFN-ede89d168c2c1a56
国发〔2015〕11号,中国保监会关于取消和调整一批行政审批项目等事项的通知,legacy,title,,同名异版，人工复核是否登记新版,保监发〔2015〕35号,中国保监会关于取消和调整一批行政审批项目等事项的通知,,nfra,RFN-9b5d48235a21a6cf
,再保险公司设立规定,legacy,title,,同名异版，人工复核是否登记新版,N/A,再保险公司设立规定,,nfra,RFN-a1164d47f2059174
保监会令〔2015〕3号,中国保险监督管理委员会关于修改《保险公司设立境外保险类机构管理办法》等八部规章的决定,legacy,title,,同名异版，人工复核是否登记新版,N/A,中国保险监督管理委员会关于修改《保险公司设立境外保险类机构管理办法》等八部规章的决定,,nfra,RFN-a34feee980218d0d
